#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_276430_cov_40.515391:142386-143879|+  -            498 372188               -            281   5.4e-81  270.2   4.0   1   1   2.4e-83   1.1e-80  269.2   4.0    14   280   225   493   216   494 0.95 NODE_1_length_276430_cov_40.515391_127 # 142386 # 143879 # 1 # ID=1_127;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NODE_11_length_117034_cov_40.464403:100462-101442|- -            327 372188               -            281      0.02   12.4   0.0   2   2       3.5   1.6e+03   -3.7   0.0    55    79   245   269   236   272 0.79 NODE_11_length_117034_cov_40.464403_90 # 100462 # 101442 # -1 # ID=11_90;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NODE_1_length_276430_cov_40.515391:213007-214629|-  -            541 372188               -            281     0.035   11.6   0.1   1   2      0.01       4.7    4.6   0.1    84   101   239   256   223   260 0.83 NODE_1_length_276430_cov_40.515391_187 # 213007 # 214629 # -1 # ID=1_187;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.539
NODE_1_length_276430_cov_40.515391:213007-214629|-  -            541 372188               -            281     0.035   11.6   0.1   2   2    0.0099       4.5    4.7   0.0    76   105   425   454   378   466 0.71 NODE_1_length_276430_cov_40.515391_187 # 213007 # 214629 # -1 # ID=1_187;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.539
NODE_12_length_106079_cov_39.536715:40573-42399|+   -            609 372188               -            281     0.049   11.1   0.0   1   1   0.00017     0.079   10.4   0.0    88   111   167   189   119   216 0.68 NODE_12_length_106079_cov_39.536715_37 # 40573 # 42399 # 1 # ID=12_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_45_length_36631_cov_36.253287:27426-28175|+    -            250 372188               -            281     0.052   11.0   0.0   1   1   0.00021     0.096   10.2   0.0    90   114    30    54    10    65 0.86 NODE_45_length_36631_cov_36.253287_28 # 27426 # 28175 # 1 # ID=45_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.552
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/archaea_odb12/hmms/372188at2157.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_archaea_odb12/hmmer_output/372188at2157.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/archaea_odb12/hmms/372188at2157.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:23:23 2025
# [ok]
