#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_25_length_79707_cov_37.284883:64792-65370|-   -            193 62923                -            191  7.9e-113  372.9   8.8   1   1    5e-115  8.7e-113  372.7   8.8     1   191     1   192     1   192 0.99 NODE_25_length_79707_cov_37.284883_63 # 64792 # 65370 # -1 # ID=25_63;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.546
NODE_35_length_52795_cov_36.978564:8178-11702|+    -           1175 62923                -            191   6.6e-06   24.2   8.6   2   2   7.8e-05     0.014   13.3   1.6   141   159   740   758   731   782 0.78 NODE_35_length_52795_cov_36.978564_9 # 8178 # 11702 # 1 # ID=35_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.536
NODE_11_length_117034_cov_40.464403:30615-31103|-  -            163 62923                -            191   7.6e-06   23.9  27.6   1   3      0.02       3.5    5.5   3.5   106   128     2    24     1    28 0.88 NODE_11_length_117034_cov_40.464403_22 # 30615 # 31103 # -1 # ID=11_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_11_length_117034_cov_40.464403:30615-31103|-  -            163 62923                -            191   7.6e-06   23.9  27.6   2   3   1.8e-05    0.0031   15.4  12.2   115   167    54   107    29   120 0.80 NODE_11_length_117034_cov_40.464403_22 # 30615 # 31103 # -1 # ID=11_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_11_length_117034_cov_40.464403:30615-31103|-  -            163 62923                -            191   7.6e-06   23.9  27.6   3   3   3.5e-07   6.1e-05   21.0   7.4   108   164    78   141    76   153 0.76 NODE_11_length_117034_cov_40.464403_22 # 30615 # 31103 # -1 # ID=11_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_15_length_91266_cov_36.275195:28484-29101|-   -            206 62923                -            191   1.4e-05   23.0   2.7   1   2     0.061        11    3.9   0.2   110   126     8    24     3    32 0.76 NODE_15_length_91266_cov_36.275195_27 # 28484 # 29101 # -1 # ID=15_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.529
NODE_15_length_91266_cov_36.275195:28484-29101|-   -            206 62923                -            191   1.4e-05   23.0   2.7   2   2   8.3e-08   1.4e-05   23.0   2.7   107   173    90   162    78   173 0.76 NODE_15_length_91266_cov_36.275195_27 # 28484 # 29101 # -1 # ID=15_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.529
NODE_25_length_79707_cov_37.284883:20736-21404|+   -            223 62923                -            191   2.6e-05   22.2  17.3   1   3    0.0016      0.28    9.0   0.8    99   129    29    59    21    78 0.79 NODE_25_length_79707_cov_37.284883_20 # 20736 # 21404 # 1 # ID=25_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.501
NODE_25_length_79707_cov_37.284883:20736-21404|+   -            223 62923                -            191   2.6e-05   22.2  17.3   2   3   7.3e-07   0.00013   19.9   6.6   115   173    91   151    70   160 0.88 NODE_25_length_79707_cov_37.284883_20 # 20736 # 21404 # 1 # ID=25_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.501
NODE_25_length_79707_cov_37.284883:20736-21404|+   -            223 62923                -            191   2.6e-05   22.2  17.3   3   3       2.5   4.4e+02   -1.4   0.1   122   131   167   176   161   182 0.68 NODE_25_length_79707_cov_37.284883_20 # 20736 # 21404 # 1 # ID=25_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.501
NODE_41_length_44791_cov_39.437601:1949-2491|-     -            181 62923                -            191   3.1e-05   22.0   6.4   1   1   2.1e-07   3.7e-05   21.7   5.6   113   166    37    95    24   116 0.76 NODE_41_length_44791_cov_39.437601_5 # 1949 # 2491 # -1 # ID=41_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.549
NODE_47_length_33827_cov_35.974125:17931-18815|+   -            295 62923                -            191   4.4e-05   21.5  15.8   1   3    0.0037      0.65    7.9   0.4   107   127    30    50     9    56 0.79 NODE_47_length_33827_cov_35.974125_17 # 17931 # 18815 # 1 # ID=47_17;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_47_length_33827_cov_35.974125:17931-18815|+   -            295 62923                -            191   4.4e-05   21.5  15.8   2   3     4e-06    0.0007   17.5   5.5   110   163    94   150    75   169 0.83 NODE_47_length_33827_cov_35.974125_17 # 17931 # 18815 # 1 # ID=47_17;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_47_length_33827_cov_35.974125:17931-18815|+   -            295 62923                -            191   4.4e-05   21.5  15.8   3   3      0.29        51    1.7   0.2   151   163   174   186   161   200 0.70 NODE_47_length_33827_cov_35.974125_17 # 17931 # 18815 # 1 # ID=47_17;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_23_length_80065_cov_37.437114:3859-4476|-     -            206 62923                -            191   8.9e-05   20.5   3.3   1   3     0.067        12    3.8   0.3   110   126     8    24     3    30 0.75 NODE_23_length_80065_cov_37.437114_5 # 3859 # 4476 # -1 # ID=23_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.521
NODE_23_length_80065_cov_37.437114:3859-4476|-     -            206 62923                -            191   8.9e-05   20.5   3.3   2   3   0.00021     0.036   11.9   4.4   121   157    74   110    50   118 0.70 NODE_23_length_80065_cov_37.437114_5 # 3859 # 4476 # -1 # ID=23_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.521
NODE_23_length_80065_cov_37.437114:3859-4476|-     -            206 62923                -            191   8.9e-05   20.5   3.3   3   3   5.1e-07   8.9e-05   20.5   3.3   107   173    90   162    76   172 0.77 NODE_23_length_80065_cov_37.437114_5 # 3859 # 4476 # -1 # ID=23_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.521
NODE_84_length_12824_cov_36.455068:114-716|-       -            201 62923                -            191   9.1e-05   20.4   6.8   1   3     0.026       4.5    5.1   2.9   145   157    11    23     3    36 0.83 NODE_84_length_12824_cov_36.455068_1 # 114 # 716 # -1 # ID=84_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.569
NODE_84_length_12824_cov_36.455068:114-716|-       -            201 62923                -            191   9.1e-05   20.4   6.8   2   3   5.3e-07   9.1e-05   20.4   6.8   116   163    51    99    32   115 0.79 NODE_84_length_12824_cov_36.455068_1 # 114 # 716 # -1 # ID=84_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.569
NODE_84_length_12824_cov_36.455068:114-716|-       -            201 62923                -            191   9.1e-05   20.4   6.8   3   3      0.19        33    2.3   0.1   144   166   150   172   130   186 0.69 NODE_84_length_12824_cov_36.455068_1 # 114 # 716 # -1 # ID=84_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.569
NODE_11_length_117034_cov_40.464403:31103-33022|-  -            640 62923                -            191   0.00024   19.1   8.5   1   3      0.12        21    2.9   1.5   111   128     7    24     1    28 0.82 NODE_11_length_117034_cov_40.464403_23 # 31103 # 33022 # -1 # ID=11_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NODE_11_length_117034_cov_40.464403:31103-33022|-  -            640 62923                -            191   0.00024   19.1   8.5   2   3      0.56        97    0.8   1.9   115   131    55    73    42    80 0.63 NODE_11_length_117034_cov_40.464403_23 # 31103 # 33022 # -1 # ID=11_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NODE_11_length_117034_cov_40.464403:31103-33022|-  -            640 62923                -            191   0.00024   19.1   8.5   3   3   1.4e-06   0.00024   19.1   8.5   110   164    81   137    76   146 0.80 NODE_11_length_117034_cov_40.464403_23 # 31103 # 33022 # -1 # ID=11_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NODE_14_length_92032_cov_37.540264:37415-38488|+   -            358 62923                -            191   0.00028   18.8  10.0   1   3       3.8   6.7e+02   -2.0   0.0    74   128    68   125    58   129 0.62 NODE_14_length_92032_cov_37.540264_33 # 37415 # 38488 # 1 # ID=14_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.489
NODE_14_length_92032_cov_37.540264:37415-38488|+   -            358 62923                -            191   0.00028   18.8  10.0   2   3   7.4e-06    0.0013   16.7  10.0   113   161   248   293   243   312 0.81 NODE_14_length_92032_cov_37.540264_33 # 37415 # 38488 # 1 # ID=14_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.489
NODE_14_length_92032_cov_37.540264:37415-38488|+   -            358 62923                -            191   0.00028   18.8  10.0   3   3       7.3   1.3e+03   -2.9   0.0     9    38   315   342   308   352 0.61 NODE_14_length_92032_cov_37.540264_33 # 37415 # 38488 # 1 # ID=14_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.489
NODE_27_length_73011_cov_40.630920:39284-40270|-   -            329 62923                -            191   0.00073   17.5   7.0   1   3     0.088        15    3.4   2.9   143   157    44    58    40    91 0.78 NODE_27_length_73011_cov_40.630920_41 # 39284 # 40270 # -1 # ID=27_41;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NODE_27_length_73011_cov_40.630920:39284-40270|-   -            329 62923                -            191   0.00073   17.5   7.0   2   3   4.2e-06   0.00073   17.5   7.0   108   159   105   158    91   178 0.78 NODE_27_length_73011_cov_40.630920_41 # 39284 # 40270 # -1 # ID=27_41;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NODE_27_length_73011_cov_40.630920:39284-40270|-   -            329 62923                -            191   0.00073   17.5   7.0   3   3       0.3        52    1.6   0.0   120   136   191   207   182   214 0.83 NODE_27_length_73011_cov_40.630920_41 # 39284 # 40270 # -1 # ID=27_41;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NODE_9_length_123825_cov_37.296666:114982-115527|- -            182 62923                -            191    0.0012   16.7   8.1   1   1   1.3e-05    0.0022   15.9   8.1   114   179    38   108    34   120 0.79 NODE_9_length_123825_cov_37.296666_101 # 114982 # 115527 # -1 # ID=9_101;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.560
NODE_2_length_157429_cov_38.171358:103556-104746|- -            397 62923                -            191    0.0016   16.4   5.6   1   2     0.002      0.35    8.7   1.7   114   129     7    22     3    26 0.89 NODE_2_length_157429_cov_38.171358_101 # 103556 # 104746 # -1 # ID=2_101;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.538
NODE_2_length_157429_cov_38.171358:103556-104746|- -            397 62923                -            191    0.0016   16.4   5.6   2   2     0.002      0.36    8.7   0.1   114   134    54    74    37    83 0.80 NODE_2_length_157429_cov_38.171358_101 # 103556 # 104746 # -1 # ID=2_101;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.538
NODE_60_length_26402_cov_36.807041:6055-6582|+     -            176 62923                -            191    0.0019   16.1   8.7   1   3     0.014       2.5    5.9   1.8   109   128     5    24     1    35 0.86 NODE_60_length_26402_cov_36.807041_7 # 6055 # 6582 # 1 # ID=60_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NODE_60_length_26402_cov_36.807041:6055-6582|+     -            176 62923                -            191    0.0019   16.1   8.7   2   3   1.1e-05    0.0019   16.1   8.7   114   164    56   107    41   129 0.78 NODE_60_length_26402_cov_36.807041_7 # 6055 # 6582 # 1 # ID=60_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NODE_60_length_26402_cov_36.807041:6055-6582|+     -            176 62923                -            191    0.0019   16.1   8.7   3   3      0.48        83    1.0   1.3   122   136   143   157   127   167 0.68 NODE_60_length_26402_cov_36.807041_7 # 6055 # 6582 # 1 # ID=60_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NODE_66_length_21471_cov_38.343047:4327-5022|+     -            232 62923                -            191    0.0081   14.1  17.5   1   2   0.00051     0.088   10.7   4.9   114   137    59    82    32   126 0.72 NODE_66_length_21471_cov_38.343047_6 # 4327 # 5022 # 1 # ID=66_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.589
NODE_66_length_21471_cov_38.343047:4327-5022|+     -            232 62923                -            191    0.0081   14.1  17.5   2   2    0.0019      0.33    8.8   4.5   110   158   133   198   113   212 0.59 NODE_66_length_21471_cov_38.343047_6 # 4327 # 5022 # 1 # ID=66_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.589
NODE_9_length_123825_cov_37.296666:26382-26642|-   -             87 62923                -            191     0.015   13.2   4.9   1   1    0.0001     0.017   13.0   4.9   109   176     2    75     1    83 0.72 NODE_9_length_123825_cov_37.296666_26 # 26382 # 26642 # -1 # ID=9_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.448
NODE_25_length_79707_cov_37.284883:17272-17898|+   -            209 62923                -            191     0.021   12.7  24.0   1   3     0.025       4.3    5.2   0.1    86   127    37    79    26    92 0.69 NODE_25_length_79707_cov_37.284883_17 # 17272 # 17898 # 1 # ID=25_17;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.493
NODE_25_length_79707_cov_37.284883:17272-17898|+   -            209 62923                -            191     0.021   12.7  24.0   2   3    0.0016      0.27    9.1  11.5   115   160   122   170   117   180 0.79 NODE_25_length_79707_cov_37.284883_17 # 17272 # 17898 # 1 # ID=25_17;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.493
NODE_25_length_79707_cov_37.284883:17272-17898|+   -            209 62923                -            191     0.021   12.7  24.0   3   3   5.7e-05    0.0098   13.8  11.2   109   163   149   200   141   207 0.83 NODE_25_length_79707_cov_37.284883_17 # 17272 # 17898 # 1 # ID=25_17;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.493
NODE_47_length_33827_cov_35.974125:4780-6324|-     -            515 62923                -            191     0.042   11.7   0.2   1   2      0.37        64    1.4   1.0   110   126    10    26     3    31 0.75 NODE_47_length_33827_cov_35.974125_8 # 4780 # 6324 # -1 # ID=47_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_47_length_33827_cov_35.974125:4780-6324|-     -            515 62923                -            191     0.042   11.7   0.2   2   2   0.00024     0.042   11.7   0.2   121   162   190   232   173   242 0.81 NODE_47_length_33827_cov_35.974125_8 # 4780 # 6324 # -1 # ID=47_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_53_length_29778_cov_36.323025:26391-27929|+   -            513 62923                -            191     0.076   10.9   4.8   1   2      0.24        42    2.0   0.5   110   126    10    26     3    37 0.78 NODE_53_length_29778_cov_36.323025_26 # 26391 # 27929 # 1 # ID=53_26;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_53_length_29778_cov_36.323025:26391-27929|+   -            513 62923                -            191     0.076   10.9   4.8   2   2   0.00065      0.11   10.3   0.3   121   162   191   233   158   244 0.81 NODE_53_length_29778_cov_36.323025_26 # 26391 # 27929 # 1 # ID=53_26;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_41_length_44791_cov_39.437601:6977-7588|-     -            204 62923                -            191       0.1   10.5  21.7   1   3      0.12        20    3.0   2.5   110   126     6    22     1    26 0.67 NODE_41_length_44791_cov_39.437601_9 # 6977 # 7588 # -1 # ID=41_9;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NODE_41_length_44791_cov_39.437601:6977-7588|-     -            204 62923                -            191       0.1   10.5  21.7   2   3   0.00013     0.022   12.6   6.7   120   164    57   100    32   112 0.83 NODE_41_length_44791_cov_39.437601_9 # 6977 # 7588 # -1 # ID=41_9;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NODE_41_length_44791_cov_39.437601:6977-7588|-     -            204 62923                -            191       0.1   10.5  21.7   3   3      0.07        12    3.7   0.2   142   168   142   171   132   183 0.66 NODE_41_length_44791_cov_39.437601_9 # 6977 # 7588 # -1 # ID=41_9;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NODE_66_length_21471_cov_38.343047:1090-1584|+     -            165 62923                -            191      0.27    9.1  21.6   1   3     0.044       7.7    4.4   1.9   145   161    36    52    31    65 0.85 NODE_66_length_21471_cov_38.343047_3 # 1090 # 1584 # 1 # ID=66_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NODE_66_length_21471_cov_38.343047:1090-1584|+     -            165 62923                -            191      0.27    9.1  21.6   2   3      0.03       5.2    4.9   3.1   112   165    65   126    61   132 0.70 NODE_66_length_21471_cov_38.343047_3 # 1090 # 1584 # 1 # ID=66_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NODE_66_length_21471_cov_38.343047:1090-1584|+     -            165 62923                -            191      0.27    9.1  21.6   3   3    0.0016      0.28    9.0   6.4   116   162   107   157   100   163 0.71 NODE_66_length_21471_cov_38.343047_3 # 1090 # 1584 # 1 # ID=66_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NODE_66_length_21471_cov_38.343047:5009-5872|+     -            288 62923                -            191      0.54    8.1  10.9   1   2     0.012       2.1    6.2   2.0   124   158   199   238   194   251 0.52 NODE_66_length_21471_cov_38.343047_7 # 5009 # 5872 # 1 # ID=66_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.560
NODE_66_length_21471_cov_38.343047:5009-5872|+     -            288 62923                -            191      0.54    8.1  10.9   2   2    0.0028      0.49    8.3   8.9   105   163   215   277   208   283 0.82 NODE_66_length_21471_cov_38.343047_7 # 5009 # 5872 # 1 # ID=66_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.560
NODE_81_length_14768_cov_38.084830:4581-6560|+     -            660 62923                -            191         7    4.5  23.6   1   2     0.012       2.1    6.2  11.1   116   168    56   111    27   125 0.67 NODE_81_length_14768_cov_38.084830_3 # 4581 # 6560 # 1 # ID=81_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.555
NODE_81_length_14768_cov_38.084830:4581-6560|+     -            660 62923                -            191         7    4.5  23.6   2   2   3.8e-05    0.0066   14.4   8.7   110   165    81   146    70   163 0.72 NODE_81_length_14768_cov_38.084830_3 # 4581 # 6560 # 1 # ID=81_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.555
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/62923at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/62923at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/62923at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:28 2025
# [ok]
