#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 301                  -            858         0 1804.6   1.2   1   1         0         0 1804.4   1.2     1   858     1   860     1   860 1.00 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 301                  -            858   3.7e-22   76.0   4.0   5   5   3.7e-06    0.0037   13.2   0.0   616   645   601   630   554   645 0.70 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 301                  -            858   3.1e-10   36.6   0.0   1   2   2.9e-12   2.9e-09   33.4   0.0    34   181     7   151     2   157 0.88 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 301                  -            858   3.1e-10   36.6   0.0   2   2      0.02        20    0.8   0.0   616   644   332   360   319   456 0.86 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_21_length_83220_cov_38.326345:10672-12057|-   -            462 301                  -            858   6.9e-06   22.2   0.7   1   2   0.00049      0.49    6.1   0.2    48    71    36    59    24    65 0.91 NODE_21_length_83220_cov_38.326345_13 # 10672 # 12057 # -1 # ID=21_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_21_length_83220_cov_38.326345:10672-12057|-   -            462 301                  -            858   6.9e-06   22.2   0.7   2   2   1.6e-06    0.0017   14.3   0.0   611   673   260   321   236   335 0.85 NODE_21_length_83220_cov_38.326345_13 # 10672 # 12057 # -1 # ID=21_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/301at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/301at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/301at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:17 2025
# [ok]
