#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_23_length_80065_cov_37.437114:57732-58448|+  -            239 7373                 -            237    3e-150  496.5   8.4   1   1  8.1e-153  3.4e-150  496.4   8.4     1   237     1   237     1   237 1.00 NODE_23_length_80065_cov_37.437114_52 # 57732 # 58448 # 1 # ID=23_52;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_10_length_119716_cov_38.250842:42343-43083|+ -            247 7373                 -            237   2.9e-16   58.0  10.2   1   1   5.7e-18   2.4e-15   55.0  10.2    11   220    29   235    22   239 0.79 NODE_10_length_119716_cov_38.250842_34 # 42343 # 43083 # 1 # ID=10_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524
NODE_8_length_126545_cov_41.885285:1402-2505|-    -            368 7373                 -            237   1.5e-15   55.7   2.2   1   2      0.13        54    1.4   2.5    11    83   157   228   151   234 0.76 NODE_8_length_126545_cov_41.885285_3 # 1402 # 2505 # -1 # ID=8_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.524
NODE_8_length_126545_cov_41.885285:1402-2505|-    -            368 7373                 -            237   1.5e-15   55.7   2.2   2   2   3.5e-18   1.5e-15   55.7   2.2   100   217   227   347   215   365 0.79 NODE_8_length_126545_cov_41.885285_3 # 1402 # 2505 # -1 # ID=8_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.524
NODE_8_length_126545_cov_41.885285:2515-3696|-    -            394 7373                 -            237   1.9e-15   55.3   2.3   1   3     0.021       8.6    4.0   1.7    16    70    91   147    83   152 0.76 NODE_8_length_126545_cov_41.885285_4 # 2515 # 3696 # -1 # ID=8_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.503
NODE_8_length_126545_cov_41.885285:2515-3696|-    -            394 7373                 -            237   1.9e-15   55.3   2.3   2   3       2.2   9.2e+02   -2.6   0.1   187   187   199   199   176   237 0.43 NODE_8_length_126545_cov_41.885285_4 # 2515 # 3696 # -1 # ID=8_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.503
NODE_8_length_126545_cov_41.885285:2515-3696|-    -            394 7373                 -            237   1.9e-15   55.3   2.3   3   3   4.5e-18   1.9e-15   55.3   2.3   108   234   265   392   254   393 0.92 NODE_8_length_126545_cov_41.885285_4 # 2515 # 3696 # -1 # ID=8_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.503
NODE_30_length_69036_cov_41.149327:2181-2834|+    -            218 7373                 -            237     0.018   12.8   0.1   1   3     0.044        19    2.9   1.5    12    68    18    78    10    83 0.70 NODE_30_length_69036_cov_41.149327_3 # 2181 # 2834 # 1 # ID=30_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524
NODE_30_length_69036_cov_41.149327:2181-2834|+    -            218 7373                 -            237     0.018   12.8   0.1   2   3   4.2e-05     0.018   12.8   0.1   107   171    92   152    83   161 0.88 NODE_30_length_69036_cov_41.149327_3 # 2181 # 2834 # 1 # ID=30_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524
NODE_30_length_69036_cov_41.149327:2181-2834|+    -            218 7373                 -            237     0.018   12.8   0.1   3   3       5.6   2.3e+03   -3.9   0.2    19    27   192   200   181   209 0.46 NODE_30_length_69036_cov_41.149327_3 # 2181 # 2834 # 1 # ID=30_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524
NODE_26_length_78359_cov_41.157595:3554-4444|+    -            297 7373                 -            237     0.061   11.1  10.4   1   4     0.086        36    2.0   0.8    17    68    89   142    78   152 0.70 NODE_26_length_78359_cov_41.157595_5 # 3554 # 4444 # 1 # ID=26_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NODE_26_length_78359_cov_41.157595:3554-4444|+    -            297 7373                 -            237     0.061   11.1  10.4   2   4   5.8e-05     0.024   12.4   0.5    99   150   148   199   128   214 0.81 NODE_26_length_78359_cov_41.157595_5 # 3554 # 4444 # 1 # ID=26_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NODE_26_length_78359_cov_41.157595:3554-4444|+    -            297 7373                 -            237     0.061   11.1  10.4   3   4      0.92   3.9e+02   -1.4   0.1    12    42   200   230   197   258 0.65 NODE_26_length_78359_cov_41.157595_5 # 3554 # 4444 # 1 # ID=26_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NODE_26_length_78359_cov_41.157595:3554-4444|+    -            297 7373                 -            237     0.061   11.1  10.4   4   4     0.085        36    2.0   0.5    31    62   255   286   241   292 0.79 NODE_26_length_78359_cov_41.157595_5 # 3554 # 4444 # 1 # ID=26_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/7373at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/7373at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/7373at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:32 2025
# [ok]
