#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_157429_cov_38.171358:44233-45126|-   -            298 6641                 -            297  7.8e-174  575.2   0.0   1   1  2.4e-176  8.7e-174  575.0   0.0     1   296     1   296     1   297 1.00 NODE_2_length_157429_cov_38.171358_43 # 44233 # 45126 # -1 # ID=2_43;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.557
NODE_43_length_41508_cov_43.498876:7736-9112|+     -            459 6641                 -            297   0.00038   18.1   0.6   2   2    0.0009      0.32    8.4   0.1     3    70   235   308   233   359 0.63 NODE_43_length_41508_cov_43.498876_11 # 7736 # 9112 # 1 # ID=43_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.503
NODE_23_length_80065_cov_37.437114:53229-54242|+   -            338 6641                 -            297   0.00046   17.8   0.0   1   1   1.8e-06   0.00064   17.3   0.0     1   164     1   169     1   192 0.74 NODE_23_length_80065_cov_37.437114_46 # 53229 # 54242 # 1 # ID=23_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_39_length_47213_cov_38.868135:3419-4351|+     -            311 6641                 -            297    0.0011   16.5   0.1   1   1   2.3e-05    0.0082   13.7   0.1     3   222     2   235     1   253 0.52 NODE_39_length_47213_cov_38.868135_4 # 3419 # 4351 # 1 # ID=39_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.511
NODE_24_length_79963_cov_36.490030:9013-9837|+     -            275 6641                 -            297    0.0024   15.4   0.1   1   2       3.1   1.1e+03   -3.1   0.0     6    30     6    30     1    49 0.74 NODE_24_length_79963_cov_36.490030_12 # 9013 # 9837 # 1 # ID=24_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
NODE_24_length_79963_cov_36.490030:9013-9837|+     -            275 6641                 -            297    0.0024   15.4   0.1   2   2   4.7e-05     0.017   12.6   0.0   172   235   161   225    86   238 0.63 NODE_24_length_79963_cov_36.490030_12 # 9013 # 9837 # 1 # ID=24_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
NODE_15_length_91266_cov_36.275195:43361-44107|-   -            249 6641                 -            297    0.0039   14.8   0.1   1   1   1.5e-05    0.0056   14.2   0.1     1    40     1    40     1    68 0.84 NODE_15_length_91266_cov_36.275195_41 # 43361 # 44107 # -1 # ID=15_41;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509
NODE_18_length_85840_cov_40.696849:70078-70938|+   -            287 6641                 -            297    0.0056   14.2   0.0   1   1   2.7e-05    0.0098   13.4   0.0     3    48     2    49     1    86 0.86 NODE_18_length_85840_cov_40.696849_60 # 70078 # 70938 # 1 # ID=18_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
NODE_35_length_52795_cov_36.978564:33841-34005|+   -             55 6641                 -            297    0.0085   13.6   0.0   1   1   2.4e-05    0.0085   13.6   0.0     2    42     3    44     1    53 0.83 NODE_35_length_52795_cov_36.978564_30 # 33841 # 34005 # 1 # ID=35_30;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_8_length_126545_cov_41.885285:117801-118436|+ -            212 6641                 -            297     0.013   13.1   0.0   1   1   5.4e-05      0.02   12.4   0.0     2    23     3    24     2    41 0.79 NODE_8_length_126545_cov_41.885285_112 # 117801 # 118436 # 1 # ID=8_112;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.546
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6641at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/6641at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6641at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:29 2025
# [ok]
