# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb12 (Creation date: 2024-11-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
9808150at2	Complete	NODE_39_length_47213_cov_38.868135	29927	30550	+	277.6	188
9808348at2	Complete	NODE_30_length_69036_cov_41.149327	32754	31903	-	188.2	168
9808773at2	Complete	NODE_46_length_34184_cov_43.893884	16161	15538	-	156.7	147
9808936at2	Complete	NODE_4_length_139564_cov_44.158667	54701	53634	-	426.3	351
9808966at2	Complete	NODE_45_length_36631_cov_36.253287	21235	21591	+	172.8	111
9809045at2	Complete	NODE_43_length_41508_cov_43.498876	16447	15944	-	253.5	161
9809052at2	Complete	NODE_30_length_69036_cov_41.149327	5027	6745	+	376.0	284
9809073at2	Complete	NODE_43_length_41508_cov_43.498876	11217	10834	-	169.7	118
9809075at2	Complete	NODE_51_length_31115_cov_42.820834	761	1306	+	165.5	149
9809084at2	Complete	NODE_8_length_126545_cov_41.885285	123403	124263	+	290.1	235
9809248at2	Complete	NODE_43_length_41508_cov_43.498876	15315	13984	-	599.7	410
9809356at2	Complete	NODE_2_length_157429_cov_38.171358	33892	35160	+	432.2	384
9809796at2	Complete	NODE_4_length_139564_cov_44.158667	57258	55942	-	459.0	407
9810191at2	Complete	NODE_3_length_152663_cov_37.088930	81854	79821	-	763.0	632
9810293at2	Complete	NODE_43_length_41508_cov_43.498876	15757	15323	-	69.8	111
9810939at2	Complete	NODE_43_length_41508_cov_43.498876	16815	16462	-	150.0	116
9811714at2	Complete	NODE_43_length_41508_cov_43.498876	19786	19532	-	136.4	74
9811748at2	Complete	NODE_51_length_31115_cov_42.820834	3578	3943	+	92.7	93
9811804at2	Complete	NODE_8_length_126545_cov_41.885285	100508	103180	+	998.9	668
9812008at2	Complete	NODE_90_length_11481_cov_41.970231	8334	8561	+	95.3	48
9812272at2	Complete	NODE_29_length_69919_cov_43.020805	17089	15809	-	544.2	397
9812273at2	Complete	NODE_54_length_28184_cov_41.894607	5943	6962	+	313.3	285
9812702at2	Complete	NODE_90_length_11481_cov_41.970231	7613	8008	+	95.8	86
9812769at2	Complete	NODE_46_length_34184_cov_43.893884	10746	9883	-	379.1	281
9812943at2	Complete	NODE_4_length_139564_cov_44.158667	41126	41746	+	177.5	175
9813334at2	Complete	NODE_8_length_126545_cov_41.885285	83071	83382	+	133.7	102
9813375at2	Complete	NODE_4_length_139564_cov_44.158667	49040	47889	-	387.7	291
9814755at2	Complete	NODE_4_length_139564_cov_44.158667	100439	101260	+	184.3	196
9815296at2	Complete	NODE_51_length_31115_cov_42.820834	8368	12591	+	1377.2	864
