[14:28:39] config.py (line 371):     INFO: Seed number: 297834
[14:28:53] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/hmmbuild.input.n3yndll7.fasta
[14:28:55] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_7/A_7_0/hmmbuild.input.b_5xfofg.fasta
[14:28:57] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_8/A_8_0/hmmbuild.input.5j312ma1.fasta
[14:28:58] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_9/A_9_0/hmmbuild.input.ltmktpf1.fasta
[14:29:00] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_10/A_10_0/hmmbuild.input.k4hmo8ye.fasta
[14:29:02] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_11/A_11_0/hmmbuild.input.hqyxgbto.fasta
[14:29:04] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_12/A_12_0/hmmbuild.input.87tapsbw.fasta
[14:29:06] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_13/A_13_0/hmmbuild.input.lyu7e71i.fasta
[14:29:07] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_14/A_14_0/hmmbuild.input.qm5ck24j.fasta
[14:29:08] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/hmmbuild.model.afm6x7ad, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/FC_0_0_0/hmmsearch.results.6skkqtsu
[14:29:08] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/hmmbuild.model.afm6x7ad, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/FC_0_0_1/hmmsearch.results.cz3nrial
[14:29:09] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/hmmbuild.model.afm6x7ad, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/FC_0_0_2/hmmsearch.results.b86mgp1x
[14:29:09] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/hmmbuild.model.afm6x7ad, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/FC_0_0_3/hmmsearch.results.mlesb6dw
[14:29:10] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/hmmbuild.model.uxj0u32x, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/FC_1_0_0/hmmsearch.results.xoz5w_b6
[14:29:10] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/hmmbuild.model.uxj0u32x, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/FC_1_0_1/hmmsearch.results.rl_nmo_k
[14:29:10] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/hmmbuild.model.uxj0u32x, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/FC_1_0_2/hmmsearch.results.49bdmq9k
[14:29:11] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/hmmbuild.model.uxj0u32x, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/FC_1_0_3/hmmsearch.results.spg_60ia
[14:29:11] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/hmmbuild.model.vdr1qlcd, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/FC_2_0_0/hmmsearch.results.aikmr5ck
[14:29:11] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/hmmbuild.model.vdr1qlcd, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/FC_2_0_1/hmmsearch.results.3zlxr12f
[14:29:12] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/hmmbuild.model.vdr1qlcd, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/FC_2_0_2/hmmsearch.results.djvjvi7l
[14:29:12] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/hmmbuild.model.vdr1qlcd, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/FC_2_0_3/hmmsearch.results.c5mi5pyo
[14:29:13] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/hmmbuild.model.n03yx2cm, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/FC_3_0_0/hmmsearch.results.zlo0zyuu
[14:29:13] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/hmmbuild.model.n03yx2cm, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/FC_3_0_1/hmmsearch.results.3udaztp1
[14:29:13] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/hmmbuild.model.n03yx2cm, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/FC_3_0_2/hmmsearch.results.okqb7ro6
[14:29:14] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/hmmbuild.model.n03yx2cm, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/FC_3_0_3/hmmsearch.results.em9nd2dp
[14:29:14] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/hmmbuild.model.fdftjvx4, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/FC_4_0_0/hmmsearch.results.hk44uhzv
[14:29:15] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/hmmbuild.model.fdftjvx4, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/FC_4_0_1/hmmsearch.results.u73ic9td
[14:29:15] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/hmmbuild.model.fdftjvx4, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/FC_4_0_2/hmmsearch.results.cqovb0w1
[14:29:15] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/hmmbuild.model.fdftjvx4, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/FC_4_0_3/hmmsearch.results.i4qor93y
[14:29:16] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/hmmbuild.model.isawatz3, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/FC_5_0_0/hmmsearch.results.78qanxxp
[14:29:16] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/hmmbuild.model.isawatz3, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/FC_5_0_1/hmmsearch.results.eqsv6tkx
[14:29:16] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/hmmbuild.model.isawatz3, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/FC_5_0_2/hmmsearch.results.2p35oqzs
[14:29:17] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/hmmbuild.model.isawatz3, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/FC_5_0_3/hmmsearch.results.l_t2qq47
[14:29:17] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/hmmbuild.model.zuhps8xt, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/FC_6_0_0/hmmsearch.results.l6s1bbk7
[14:29:18] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/hmmbuild.model.zuhps8xt, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_1dgukhxqi.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/FC_6_0_1/hmmsearch.results.p5xrefgi
[14:29:18] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/hmmbuild.model.zuhps8xt, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_281j_j6bj.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/FC_6_0_2/hmmsearch.results.a8sdo6vs
[14:29:18] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/hmmbuild.model.zuhps8xt, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_32bzemx7o.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_6/A_6_0/FC_6_0_3/hmmsearch.results.zdy3ixcp
[14:29:19] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_7/A_7_0/hmmbuild.model.q5rp33uv, fragments:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/fragment_chunks/fragment_chunk_0mjvu7l_b.fasta, elim:99999999, filter:False, output:/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_7/A_7_0/FC_7_0_0/hmmsearch.results.ax_mfoa5
