#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 9810191              -            634  7.6e-230  763.0   0.0   1   1  1.2e-232  8.6e-230  762.8   0.0     3   634     5   677     3   677 0.94 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_32_length_57606_cov_39.295812:27031-27363|+   -            111 9810191              -            634   1.6e-22   78.1   0.1   1   1   2.2e-25   1.6e-22   78.1   0.1   540   620     2    87     1   110 0.81 NODE_32_length_57606_cov_39.295812_21 # 27031 # 27363 # 1 # ID=32_21;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_21_length_83220_cov_38.326345:10672-12057|-   -            462 9810191              -            634   4.1e-18   63.5   0.8   1   2   5.4e-13   3.9e-10   37.2   0.1    19    89    36   105    30   132 0.94 NODE_21_length_83220_cov_38.326345_13 # 10672 # 12057 # -1 # ID=21_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_21_length_83220_cov_38.326345:10672-12057|-   -            462 9810191              -            634   4.1e-18   63.5   0.8   2   2   2.8e-09     2e-06   24.9   0.0   302   365   248   311   222   395 0.81 NODE_21_length_83220_cov_38.326345_13 # 10672 # 12057 # -1 # ID=21_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_59_length_27357_cov_36.938267:10022-10531|+   -            170 9810191              -            634    0.0043   13.9   0.1   1   1   6.3e-06    0.0045   13.8   0.1   422   525    13   110     4   155 0.82 NODE_59_length_27357_cov_36.938267_10 # 10022 # 10531 # 1 # ID=59_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.414
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9810191at2.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/hmmer_output/9810191at2.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9810191at2.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:23:29 2025
# [ok]
